DateTime,Transaction,Product,LineItem,Amount,BalanceDetails,JourneyId,LocationDisplay,TransactonTime,OrderDate,Payment,OrderNumber,AuthCode,Total
Dec-30-2024 05:54 PM,Tap in at Bus Stop 52393,3 Zone UPass (N),,$0.00,$3.15,2024-12-31T01:54:00.0000000Z,"Tap in at Bus Stop 52393
3 Zone UPass (N)",05:54 PM,,,,,
Dec-30-2024 03:34 PM,Tap out at Metrotown Stn,3 Zone UPass (N),,$0.00,$3.15,2024-12-30T22:12:00.0000000Z,"Tap out at Metrotown Stn
3 Zone UPass (N)",03:34 PM,,,,,
Dec-30-2024 03:26 PM,Transfer at Joyce Stn,3 Zone UPass (N),,$0.00,$3.15,2024-12-30T22:12:00.0000000Z,"Transfer at Joyce Stn
3 Zone UPass (N)",03:26 PM,,,,,
Dec-30-2024 03:23 PM,Transfer at Bus Stop 51636,3 Zone UPass (N),,$0.00,$3.15,2024-12-30T22:12:00.0000000Z,"Transfer at Bus Stop 51636
3 Zone UPass (N)",03:23 PM,,,,,
Dec-30-2024 03:17 PM,Transfer at Bus Stop 51172,3 Zone UPass (N),,$0.00,$3.15,2024-12-30T22:12:00.0000000Z,"Transfer at Bus Stop 51172
3 Zone UPass (N)",03:17 PM,,,,,
Dec-30-2024 02:48 PM,Transfer at Bus Stop 51164,3 Zone UPass (N),,$0.00,$3.15,2024-12-30T22:12:00.0000000Z,"Transfer at Bus Stop 51164
3 Zone UPass (N)",02:48 PM,,,,,
Dec-30-2024 02:44 PM,Tap out at Metrotown Stn,3 Zone UPass (N),,$0.00,$3.15,2024-12-30T22:12:00.0000000Z,"Tap out at Metrotown Stn
3 Zone UPass (N)",02:44 PM,,,,,
Dec-30-2024 02:35 PM,Transfer at Joyce Stn,3 Zone UPass (N),,$0.00,$3.15,2024-12-30T22:12:00.0000000Z,"Transfer at Joyce Stn
3 Zone UPass (N)",02:35 PM,,,,,
Dec-30-2024 02:33 PM,Transfer at Bus Stop 51636,3 Zone UPass (N),,$0.00,$3.15,2024-12-30T22:12:00.0000000Z,"Transfer at Bus Stop 51636
3 Zone UPass (N)",02:33 PM,,,,,
Dec-30-2024 02:12 PM,Tap in at Bus Stop 51172,3 Zone UPass (N),,$0.00,$3.15,2024-12-30T22:12:00.0000000Z,"Tap in at Bus Stop 51172
3 Zone UPass (N)",02:12 PM,,,,,
Dec-29-2024 11:54 AM,Tap in at Bus Stop 52400,3 Zone UPass (N),,$0.00,$3.15,2024-12-29T19:54:00.0000000Z,"Tap in at Bus Stop 52400
3 Zone UPass (N)",11:54 AM,,,,,
Dec-28-2024 04:30 PM,Tap out at Royal Oak Stn,3 Zone UPass (N),,$0.00,$3.15,2024-12-28T23:00:00.0000000Z,"Tap out at Royal Oak Stn
3 Zone UPass (N)",04:30 PM,,,,,
Dec-28-2024 04:11 PM,Transfer at Main Street Stn,3 Zone UPass (N),,$0.00,$3.15,2024-12-28T23:00:00.0000000Z,"Transfer at Main Street Stn
3 Zone UPass (N)",04:11 PM,,,,,
Dec-28-2024 03:29 PM,Tap out at Waterfront Stn,3 Zone UPass (N),,$0.00,$3.15,2024-12-28T23:00:00.0000000Z,"Tap out at Waterfront Stn
3 Zone UPass (N)",03:29 PM,,,,,
Dec-28-2024 03:00 PM,Tap in at Royal Oak Stn,3 Zone UPass (N),,$0.00,$3.15,2024-12-28T23:00:00.0000000Z,"Tap in at Royal Oak Stn
3 Zone UPass (N)",03:00 PM,,,,,
Dec-27-2024 07:17 PM,Tap in at Bus Stop 52514,3 Zone UPass (N),,$0.00,$3.15,2024-12-28T03:17:00.0000000Z,"Tap in at Bus Stop 52514
3 Zone UPass (N)",07:17 PM,,,,,
Dec-27-2024 07:11 PM,Tap out at Metrotown Stn,3 Zone UPass (N),,$0.00,$3.15,2024-12-28T01:25:00.0000000Z,"Tap out at Metrotown Stn
3 Zone UPass (N)",07:11 PM,,,,,
Dec-27-2024 06:50 PM,Transfer at Granville Stn,3 Zone UPass (N),,$0.00,$3.15,2024-12-28T01:25:00.0000000Z,"Transfer at Granville Stn
3 Zone UPass (N)",06:50 PM,,,,,
